,Original Value,Amendment Value,Commodity Type,Country of Origin,Limited Tendering Reason,Exemption,Year,Entity,Entities Rule,Limited Tendering Rule,thresholds,Commodity Rule,Exemptions Rule,Estimated Trade Coverage,Commodity
33832,132871.05,-19457.47,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
33835,17250.0,0.0,Services,CA,87,00,2019,CSC,Unknown,Unknown,No,Yes,Yes,No,Commercial Security Guard and Related Services
33862,177636.0,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
33868,51137.1,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Passenger Motor Vehicles
33882,60003.0,64410.0,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
33888,70364.7,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,"Pilot Training Services, Aircraft"
33894,11515.98,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
33898,24862.63,0.0,Goods,CA,00,00,2018,CGC,No,Yes,No,Yes,Yes,No,Office Furniture
33921,117277.05,157414.65,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
33922,24718.75,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
33926,13395.74,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
33935,21132.41,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
33946,409421.6,0.0,Services,CA,00,00,2019,DND,Yes,Yes,Yes,No,Yes,No,"Product/Material - Design, Development, Formulation, Modification: Science and Technology Related (R&D)"
33956,139019.01,109952.57,Goods,CA,00,00,2017,OSFI,Yes,Yes,No,Yes,Yes,No,ADP Input-Output and Storage Devices
33976,37670.93,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,ADP Input-Output and Storage Devices
33982,65850.75,-57890.13,Services,CA,00,00,2018,CNSC,Unknown,Yes,No,Unknown,Yes,No,General Office Help
33988,10575.86,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
33995,197750.0,0.0,Services,CA,00,00,2017,FJA,Yes,Yes,Yes,No,Yes,No,Language Translation and Interpretation
33997,138142.5,212722.5,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34006,20475.0,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,Harassment (Investigative Services)
34010,174532.05,174532.05,Services,CA,87,00,2018,CEO,Yes,Unknown,No,Yes,Yes,No,Informatics Professional Services
34012,62405.7,65709.85,Services,CA,71,00,2018,PHAC,Yes,Unknown,No,Yes,Yes,No,"Medical and Surgical Instruments, Equipment and Supplies - Repair"
34035,65780.0,0.0,Services,CA,00,00,2017,DND,Unknown,Yes,No,Unknown,Yes,No,"Technical Engineering and Maintenance Services (TEMS) (Excludes requirements related to armament, R&D and R&O)"
34040,22052.21,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
34041,115825.0,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34048,2085551.0,0.0,Construction,CA,00,00,2017,GAC,Yes,Yes,No,Yes,Yes,No,Building Fire Protection Systems
34057,13560.0,270126.5,Services,CA,00,00,2017,DFO,Yes,Yes,No,No,Yes,No,Budget Control Systems
34062,78060.4,156120.8,Services,CA,00,00,2017,DFO,Yes,Yes,No,No,Yes,No,Miscellaneous Communications Services
34084,18647.57,24385.27,Services,CA,00,00,2017,CAS,Yes,Yes,No,No,Yes,No,Commercial Security Guard and Related Services
34103,54107.24,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34128,5085.0,11320.79,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
34156,91558.25,20481.25,Goods,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,ADP Software
34172,195457.5,203353.98,Services,CA,87,00,2018,CEO,Yes,Unknown,Unknown,No,Yes,No,Budget Control Systems
34182,21357.0,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34184,154947.0,0.0,Services,CA,87,00,2019,CEO,Yes,Unknown,Yes,No,Yes,No,"Hotels, Motels and Commercial Accommodation"
34185,60531.84,-52721.28,Services,CA,00,00,2019,ATSSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34187,54240.0,-46104.0,Services,CA,00,00,2019,ATSSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34211,44840.25,0.0,Goods,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,Visible and Invisible Light Communication Equipment
34218,21712.95,474.48,Goods,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,ADP Software
34223,20982.94,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
34242,18928.0,16950.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,ADP Software Maintenance - Other than Microcomputer
34246,56250.0,31685.49,Services,US,85,00,2017,CTA,Yes,Unknown,No,Yes,Yes,No,Informatics Professional Services
34247,21712.95,482.52,Goods,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,ADP Software
34254,271200.0,243120.63,Services,CA,00,00,2018,DND,Yes,Yes,Unknown,No,Yes,No,Ergonomic Services
34256,13051.5,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,No,Yes,No,Snow Plowing and Removal
34261,55983.06,0.0,Goods,CA,00,00,2017,CTA,Yes,Yes,No,Yes,Yes,No,Video Recording and Reproduction Equipment
34276,75075.0,0.0,Services,CA,00,00,2019,CBSA,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34284,174110.0,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,Grounds Maintenance
34301,0.0,0.0,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34303,120330.0,181912.5,Services,CA,00,00,2019,CSC,Yes,Yes,No,Yes,Yes,No,Fire Protection Services - Buildings
34317,15078.74,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34320,10796.02,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34322,12037.48,0.0,Services,CA,00,00,2017,StatCan,Yes,Yes,No,No,Yes,No,PHOTOGRAPHIC PROJECTION EQUIPMENT - RENTAL
34345,83902.5,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34351,126108.0,-22306.2,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34359,61425.92,0.0,Construction,US,00,00,2017,GAC,Yes,Yes,No,Yes,Yes,No,"Building/Installation Special Trade Services, Not Elsewhere Specified"
34372,8916.31,2368.49,Services,CA,00,00,2017,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34408,6280.99,1328.88,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34417,39324.0,0.0,Services,CA,00,00,2017,DND,Yes,Yes,No,No,Yes,No,Temporary Help Services - Professional and Technical
34418,78563.25,95598.0,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34422,5720.01,58512.06,Services,CA,00,00,2017,ESDC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34431,7467.98,9037.74,Construction,CA,00,00,2018,DND,Unknown,Yes,No,Unknown,Yes,No,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
34437,6464.22,4035.78,Services,CA,00,00,2019,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34450,25000.0,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Laundry Services
34451,30560.36,0.0,Services,CA,71,00,2018,CSC,Yes,Unknown,No,Yes,Yes,No,Electrical Hardware and Supplies - Repair
34509,43412.68,-45606.65,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34516,100000.01,-36170.23,Services,CA,00,00,2017,OSFI,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34526,0.0,0.0,Services,CA,00,00,2019,DFO,Yes,Yes,No,No,Yes,No,Buoys - Repair
34530,97400.0,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Business Services
34531,14053.36,0.0,Services,CA,00,00,2019,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34557,95127.5,14575.0,Construction,CA,00,00,2018,GAC,Yes,Yes,No,Yes,Yes,No,Building Fire Protection Systems
34558,169500.0,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34559,203400.0,391736.07,Services,CA,00,00,2017,DFO,Yes,Yes,Unknown,No,Yes,No,Miscellaneous Communications Services
34566,24421.56,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34577,24999.99,0.0,Services,CA,00,00,2019,CBSA,Yes,Yes,No,Yes,Yes,No,Business Services
34581,16668.19,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"Cabinets, Lockers, Bins and Shelving"
34591,172600.56,128482.94,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Data Entry Services
34598,17114.03,0.0,Services,CA,00,00,2018,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
34607,114459.96,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
34637,74193.54,222580.62,Services,CA,00,00,2019,ATSSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34640,18306.0,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34641,18005.0,13062.29,Services,CA,00,00,2018,CBSA,Yes,Yes,No,No,Yes,No,"COPYING MACHINE, DIAZO PROCESS (WHITE PRINTER) - RENTAL"
34643,36161.13,108483.39,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34652,78227.11,0.0,Services,CA,71,00,2017,OSFI,Yes,Unknown,No,Yes,Yes,No,ADP Software Maintenance - Other than Microcomputer
34676,11300.0,0.0,Services,CA,00,00,2019,CSC,Yes,Yes,No,No,Yes,No,Office Furniture - Installation
34684,134895.0,67447.5,Services,CA,00,00,2019,DND,Yes,Yes,No,No,Yes,No,Grounds Maintenance
34686,142634.25,-22010.42,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34695,17246.25,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
34704,113000.0,152550.0,Services,CA,00,00,2017,ATSSC,Yes,Yes,No,No,Yes,No,Auctioneering Services
34714,24860.0,0.0,Services,CA,23,00,2018,CRCC,Yes,Unknown,No,Yes,Yes,No,Consulting Services
34720,159325.76,40311.34,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34725,66898.26,3542.55,Services,CA,00,00,2017,VAC,Unknown,Yes,No,Yes,Yes,No,Media Monitoring Services
34727,64833.75,-12797.24,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34729,74028.54,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34748,57679.0,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,No,Yes,No,Commercial Security Guard and Related Services
34758,0.0,0.0,Services,CA,71,00,2017,CRA,Yes,Unknown,No,No,Yes,No,"Cable, Cord, and Wire Assemblies, Communication Equipment - Installation"
34795,60166.85,0.0,Services,CA,87,00,2018,CEO,Unknown,Unknown,No,Unknown,Yes,No,Conference Space and Facilities
34813,24635.13,0.0,Services,CA,85,00,2018,CRCC,Yes,Unknown,No,Yes,Yes,No,Consulting Services
34829,14196.0,308.0,Services,CA,00,00,2017,CRA,Yes,Yes,No,No,Yes,No,Language Training Services
34842,56982.48,0.0,Services,CA,00,00,2017,HC,Yes,Yes,No,Yes,Yes,No,"Furniture, Office-Refinishing and Repair"
34857,14015.46,0.0,Services,CA,85,00,2018,CEO,Yes,Unknown,No,Yes,Yes,No,Conference Space and Facilities
34863,120006.0,10000.5,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34894,5640.11,30766.53,Goods,CA,00,00,2017,CSC,Yes,Yes,No,Yes,Yes,No,"Automatic Data Processing Equipment, System Configuration"
34900,6144.0,423.05,Services,CA,00,00,2017,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34908,13502.42,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Bakery and Cereal Products (replaced by gsin N8920Z)
34919,144134.75,0.0,Goods,CA,00,00,2019,CSC,Yes,Yes,No,Yes,Yes,No,ADP Software
34926,55591.12,75990.0,Services,CA,00,00,2017,GAC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34933,29778.0,0.0,Services,CA,87,00,2019,CSC,Unknown,Unknown,No,Yes,Yes,No,Commercial Security Guard and Related Services
34939,16272.0,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
34941,158482.5,11017.5,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34948,54831.78,-32135.84,Services,CA,05,00,2017,CBSA,Yes,Unknown,No,No,Yes,No,Miscellaneous Engines and Components - Repair
34954,10717.42,12881.09,Goods,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,"Automatic Data Processing Equipment, System Configuration"
34987,23759.07,7373.5,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
34999,24638.5,0.0,Goods,CA,00,00,2019,DND,Yes,Yes,No,Yes,Yes,No,"Valves, Nonpowered"
35023,85289.01,0.0,Services,CA,00,00,2018,OSFI,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35039,25869.38,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
35045,17559.0,451.46,Services,CA,00,00,2019,CRA,Yes,Yes,No,No,Yes,No,Harassment (Investigative Services)
35065,163750.0,50000.0,Services,CA,00,00,2018,GAC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35076,10292.5,0.0,Services,CA,00,00,2019,CBSA,Yes,Yes,No,Yes,Yes,No,Hazard-Detecting Instruments and Apparatus - Repair and Overhaul
35081,102465.0,245341.0,Services,CA,00,00,2018,DFO,Yes,Yes,No,No,Yes,No,Language Training Services
35094,59330.48,0.0,Services,CA,00,00,2018,PCO,Yes,Yes,No,Yes,Yes,No,Consulting Services
35098,57487.5,57487.5,Services,CA,87,00,2018,CEO,Yes,Unknown,No,No,Yes,No,Training and Curriculum Development
35102,28869.41,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Plumbing Fixtures and Accessories
35110,19792.5,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"Armor, Personal"
35112,10690.37,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,ADP Input-Output and Storage Devices
35147,93564.0,63350.63,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35149,153205.04,212575.4,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35150,270000.0,0.0,Services,CA,00,00,2017,DND,Yes,Yes,Unknown,No,Yes,No,Budget Control Systems
35153,11240.74,5261.62,Services,CA,00,00,2017,VAC,Yes,Yes,No,No,Yes,No,General Office Help
35177,11101.99,0.0,Services,CA,00,00,2018,CSC,Unknown,Yes,No,Unknown,Yes,No,Refrigeration and Air Conditioning Components - Repair
35178,36658.54,0.0,Goods,CA,71,00,2017,ATSSC,Yes,Unknown,No,Yes,Yes,No,ADP Software
35182,27293.12,0.0,Services,CA,00,00,2019,DND,Unknown,Yes,No,Unknown,Yes,No,Sewage Treatment Equipment - Repair
35189,46814.25,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Passenger Motor Vehicles
35194,12723.18,0.0,Goods,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Lubrication and Fuel Dispensing Equipment
35200,5421.0,11099.43,Services,CA,00,00,2017,CBSA,Yes,Yes,No,No,Yes,No,Commercial Security Guard and Related Services
35202,23491.69,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
35220,174616.06,64053.47,Services,CA,00,00,2018,PHAC,Yes,Yes,No,Yes,Yes,No,"Alarm and Signal Systems, Miscellaneous - Repair, Overhaul and Maintenance"
35221,68078.76,163309.86,Services,CA,00,00,2017,ESDC,Yes,Yes,No,Yes,Yes,No,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
35233,11300.0,0.0,Services,CA,00,00,2019,CSC,Yes,Yes,No,No,Yes,No,Office Furniture - Installation
35234,158482.5,8475.0,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35235,514786.76,250519.61,Services,CA,00,00,2018,GAC,Yes,Yes,Yes,No,Yes,No,"Expositions, Design and Fabrication Services"
35238,159325.76,-17766.84,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35260,94016.0,54240.0,Services,CA,00,00,2018,ATSSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35270,17246.25,0.0,Services,CA,87,00,2019,CSC,Unknown,Unknown,No,Yes,Yes,No,Commercial Security Guard and Related Services
35271,57426.6,29425.2,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35275,75883.5,183385.13,Services,CA,00,00,2018,ESDC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35277,58222.5,4491.75,Services,CA,00,00,2017,CRCC,Yes,Yes,No,Yes,Yes,No,Consulting Services
35290,242.7,15388.74,Goods,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,ADP Input-Output and Storage Devices
35291,12522.44,0.0,Goods,DE,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Electric Vehicular Lights and Fixtures
35294,91657.13,83944.88,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35307,8624.0,3828.0,Services,CA,00,00,2019,CRA,Yes,Yes,No,Yes,Yes,No,Language Training Services
35319,44375.1,-34059.33,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35322,72037.5,56429.38,Goods,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,ADP Input-Output and Storage Devices
35323,90400.0,0.0,Services,CA,00,00,2018,ATSSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35343,98298.7,0.0,Services,CA,00,00,2018,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35354,165564.0,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,"Educational Services, N.E.S."
35365,81117.0,186568.43,Services,CA,00,00,2018,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35387,20340.0,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
35389,153473.21,2525.0,Services,CA,00,00,2017,StatCan,Yes,Yes,No,No,Yes,No,General Office Help
35413,75883.5,136590.3,Services,CA,00,00,2017,ESDC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35432,0.0,0.0,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35433,14659.49,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Consulting Services
35461,209999.99,38789.53,Services,CA,00,00,2018,SSHRC,Yes,Yes,Unknown,No,Yes,No,Translation Services
35494,11518.39,0.0,Goods,CA,00,00,2019,CSC,Yes,Yes,No,Yes,Yes,No,Kitchen Equipment and Appliances
35499,22238.4,0.0,Goods,CA,00,00,2018,StatCan,Yes,Yes,No,Yes,Yes,No,Stationery and Record Forms
35519,138769.31,0.0,Goods,CA,00,00,2019,CSC,Yes,Yes,No,Yes,Yes,No,Passenger Motor Vehicles
35547,12405.71,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
35548,47324.4,48270.89,Services,CA,00,00,2017,DFO,Yes,Yes,No,Yes,Yes,No,"Cleaning and Maintenance, Janitorial"
35566,10925.0,0.0,Goods,CA,00,00,2017,VAC,Yes,Yes,No,Yes,Yes,No,ADP Software
35567,10782.0,0.0,Goods,CA,00,00,2017,HC,Yes,Yes,No,Yes,Yes,No,Drugs and Biologicals
35596,43546.78,13875.0,Services,CA,00,00,2018,GAC,Yes,Yes,No,Yes,Yes,No,Organization Development
35611,48324.45,0.0,Services,CA,00,00,2018,FCAC,No,Yes,No,Yes,Yes,No,Budget Control Systems
35614,17930.55,0.0,Services,US,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Switches - Repair
35621,24812.54,32071.61,Services,HT,85,00,2018,GAC,Yes,Unknown,No,No,Yes,No,Services of Individuals - Except Consultants
35636,0.0,0.0,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35683,3150.0,12379.5,Services,CA,87,00,2019,CSC,Unknown,Unknown,No,Yes,Yes,No,Commercial Security Guard and Related Services
35698,10483.58,-56.5,Construction,CA,00,00,2018,DND,Unknown,Yes,No,Unknown,Yes,No,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
35710,11300.0,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Yes,Yes,No,Translation Services
35726,1967556.0,0.0,Services,CA,71,00,2017,CSC,Yes,Unknown,Yes,No,Yes,No,Telephones and Telegraph Equipment - Maintenance
35729,0.0,0.0,Services,CA,00,00,2017,CRA,Unknown,Yes,No,Yes,Yes,No,Translation Services
35736,19716.64,0.0,Services,US,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Converters, Electrical, Nonrotating - Repair and Overhaul"
35738,89410.0,87010.0,Services,CA,00,00,2018,CSPS,Yes,Yes,No,Yes,Yes,No,Consulting Services
35757,1187058.99,463123.34,Services,ML,00,00,2017,GAC,Yes,Yes,Yes,No,Yes,No,Commercial Security Guard and Related Services
35758,123667.2,138040.8,Services,CA,71,00,2018,OSFI,Yes,Unknown,No,Yes,Yes,No,ADP Software Maintenance - Other than Microcomputer
35764,27485.67,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
35770,109208.85,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35774,16839.76,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"Gases, Compressed and Liquified"
35782,16152.22,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
35795,63811.13,29318.65,Services,CA,00,00,2017,ESDC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35806,153205.04,205638.85,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35832,47002.35,53906.65,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35837,118504.74,0.0,Services,CA,71,00,2017,DND,Yes,Unknown,No,Yes,Yes,No,"Electrical and Electronic Properties, Measuring and Testing Instruments - Repair and Overhaul"
35842,119294.1,-19622.45,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35844,107125.13,44746.87,Services,CA,00,00,2017,INFC,No,Yes,Unknown,Yes,Yes,No,Budget Control Systems
35884,21712.95,948.96,Goods,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,ADP Software
35898,109744.99,215007.92,Services,CA,00,00,2018,DFO,Yes,Yes,Unknown,No,Yes,No,Buoys - Repair
35935,12279.61,12586.52,Services,CA,71,00,2017,PHAC,Unknown,Unknown,No,Unknown,Yes,No,"Medical and Surgical Instruments, Equipment and Supplies - Repair"
35953,153205.04,2730.93,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35954,158482.5,-62602.0,Services,CA,00,00,2019,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
35989,0.0,0.0,Services,CA,00,00,2018,CRA,Yes,Yes,No,No,Yes,No,Budget Control Systems
35990,174111.08,255888.92,Services,CA,05,00,2018,GAC,Yes,Unknown,No,Yes,Yes,No,Informatics Professional Services
35997,22500.0,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Other Engineering Studies
36007,156719.7,49121.1,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
36013,331672.14,0.0,Services,CA,00,00,2017,PPSC,No,Yes,Yes,Yes,Yes,No,Dwellings and Apartments - Rental
36020,176536.96,18681.16,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
36035,15521.63,0.0,Services,CA,00,00,2019,CSC,Yes,Yes,No,No,Yes,No,Harassment (Investigative Services)
36049,11213.0,17988.45,Goods,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,"Cameras, Motion Picture"
36055,578108.0,744444.0,Services,CA,00,00,2018,DND,Yes,Yes,Yes,No,Yes,No,Budget Control Systems
36059,23751.38,0.0,Goods,CA,00,00,2018,StatCan,Yes,Yes,No,Yes,Yes,No,Telephone and Telegraph Equipment
36062,29777.38,0.0,Services,JP,74,00,2019,DND,Unknown,Unknown,No,Unknown,Yes,No,Sound Recording and Reproducing Equipment - Installation
36074,64677.14,34589.39,Services,CA,00,00,2018,DFO,Yes,Yes,No,Yes,Yes,No,Trash/Garbage Collection Services
